"Rob Goedemans, Harry van der Hulst. 2013. Fixed Stress Locations."
"In: Dryer, Matthew S. & Haspelmath, Martin (eds.)"
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
"(Available online at http://wals.info/chapter/14, Accessed on 2026-08-25.)"
""
wals code,name,value,description,latitude,longitude,genus,family,area
tmc,Timucua,2,Initial,30.25,-82.5,Timucua,Timucua,Phonology
try,Tiruray,5,Antepenultimate,6.75,124.166666667,Bilic,Austronesian,Phonology
tiw,Tiwi,6,Penultimate,-11.5,131.0,Tiwian,Tiwian,Phonology
tlo,Tobelo,1,No fixed stress,1.5,128.5,North Halmaheran,North Halmaheran,Phonology
tol,Tol,1,No fixed stress,14.6666666667,-87.0,Tol,Tol,Phonology
tla,Tolai,3,Second,-4.25,152.083333333,Oceanic,Austronesian,Phonology
tno,Tondano,1,No fixed stress,1.25,125.0,Minahasan,Austronesian,Phonology
tng,Tongan,1,No fixed stress,-21.1666666667,-175.166666667,Oceanic,Austronesian,Phonology
tnt,Tontemboan,1,No fixed stress,1.08333333333,124.5,Minahasan,Austronesian,Phonology
trd,Toraja,6,Penultimate,-3.0,119.75,South Sulawesi,Austronesian,Phonology
tor,Toratán,6,Penultimate,1.08333333333,124.833333333,Sangiric,Austronesian,Phonology
tru,Trumai,7,Ultimate,-11.9166666667,-53.5833333333,Trumai,Trumai,Phonology
tsa,Tsakhur,7,Ultimate,41.6666666667,47.1666666667,Lezgic,Nakh-Daghestanian,Phonology
tsi,Tsimshian (Coast),7,Ultimate,52.5,-129.0,Tsimshianic,Tsimshianic,Phonology
tua,Tuamotuan,6,Penultimate,-17.0,-144.0,Oceanic,Austronesian,Phonology
tuk,Tukang Besi,6,Penultimate,-5.5,123.5,Celebic,Austronesian,Phonology
tun,Tunica,2,Initial,32.6666666667,-91.0,Tunica,Tunica,Phonology
tur,Turkish,1,No fixed stress,39.0,35.0,Turkic,Altaic,Phonology
tzo,Tzotzil,2,Initial,16.5,-92.6666666667,Mayan,Mayan,Phonology
tbb,Tübatulabal,7,Ultimate,36.0,-118.333333333,Northern Uto-Aztecan,Uto-Aztecan,Phonology
tsh,Tümpisa Shoshone,1,No fixed stress,37.0,-117.0,Northern Uto-Aztecan,Uto-Aztecan,Phonology
uli,Ulithian,1,No fixed stress,9.91666666667,139.583333333,Oceanic,Austronesian,Phonology
uma,Uma,6,Penultimate,-1.83333333333,120.0,Celebic,Austronesian,Phonology
unm,Unami,1,No fixed stress,40.0,-75.1666666667,Algonquian,Algic,Phonology
ung,Ungarinjin,1,No fixed stress,-16.3333333333,126.0,Worrorran,Worrorran,Phonology
uhi,Uradhi,3,Second,-11.9166666667,142.416666667,Northern Pama-Nyungan,Pama-Nyungan,Phonology
urk,Urubú-Kaapor,7,Ultimate,-2.33333333333,-46.5,Maweti-Guarani,Tupian,Phonology
usa,Usan,1,No fixed stress,-4.83333333333,145.166666667,North Adelbert,Trans-New Guinea,Phonology
uzn,Uzbek (Northern),7,Ultimate,40.6666666667,66.5,Turkic,Altaic,Phonology
vot,Votic,2,Initial,59.5,30.0,Finnic,Uralic,Phonology
wah,Wahgi,7,Ultimate,-5.83333333333,144.716666667,Chimbu-Wahgi,Trans-New Guinea,Phonology
wlm,Walmatjari,2,Initial,-19.5,125.75,Western Pama-Nyungan,Pama-Nyungan,Phonology
wam,Wambaya,1,No fixed stress,-18.6666666667,135.75,Wambayan,Mirndi,Phonology
wbn,Wambon,6,Penultimate,-5.5,140.416666667,Dumut,Trans-New Guinea,Phonology
wan,Wangkumara,2,Initial,-27.3333333333,143.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
wao,Waorani,2,Initial,-1.0,-76.5,Waorani,Waorani,Phonology
wra,Warao,6,Penultimate,9.33333333333,-61.6666666667,Warao,Warao,Phonology
wrd,Wardaman,6,Penultimate,-15.5,131.0,Yangmanic,Yangmanic,Phonology
war,Wari',7,Ultimate,-11.3333333333,-65.0,Chapacura-Wanham,Chapacura-Wanham,Phonology
wrl,Warlpiri,2,Initial,-20.0,132.333333333,Western Pama-Nyungan,Pama-Nyungan,Phonology
wrg,Warrgamay,1,No fixed stress,-18.5833333333,146.083333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
wel,Welsh,6,Penultimate,52.0,-3.0,Celtic,Indo-European,Phonology
wer,Weri,7,Ultimate,-7.75,146.916666667,Core Goilalan,Trans-New Guinea,Phonology
wet,Wetan,6,Penultimate,-8.16666666667,128.0,Central Malayo-Polynesian,Austronesian,Phonology
wic,Wichita,1,No fixed stress,33.3333333333,-97.3333333333,Northern Caddoan,Caddoan,Phonology
wch,Wichí,2,Initial,-22.5,-62.5833333333,Matacoan,Matacoan,Phonology
wnb,Winnebago,4,Third,43.5,-88.5,Mississippi Valley Siouan,Siouan,Phonology
wiy,Wiyot,1,No fixed stress,40.8333333333,-124.166666667,Wiyot,Algic,Phonology
woi,Woisika,1,No fixed stress,-8.25,124.833333333,Alor-Pantar,Greater West Bomberai,Phonology
wlo,Wolio,1,No fixed stress,-5.5,122.75,Celebic,Austronesian,Phonology
ymd,Yamdena,6,Penultimate,-7.5,131.5,Central Malayo-Polynesian,Austronesian,Phonology
yan,Yana,1,No fixed stress,40.5,-122.0,Yana,Hokan,Phonology
yny,Yanyuwa,6,Penultimate,-16.4166666667,137.166666667,Western Pama-Nyungan,Pama-Nyungan,Phonology
yap,Yapese,1,No fixed stress,9.58333333333,138.166666667,Yapese,Austronesian,Phonology
yaq,Yaqui,2,Initial,27.5,-110.25,Cahita,Uto-Aztecan,Phonology
ywl,Yawelmani,6,Penultimate,35.4166666667,-119.0,Yokuts,Penutian,Phonology
yzv,Yazva,1,No fixed stress,65.0,55.0,Permic,Uralic,Phonology
yel,Yelî Dnye,2,Initial,-11.3666666667,154.166666667,Yele,Yele,Phonology
yid,Yidiny,1,No fixed stress,-17.0,145.75,Northern Pama-Nyungan,Pama-Nyungan,Phonology
yil,Yil,1,No fixed stress,-3.53333333333,142.15,East Wapei,Torricelli,Phonology
yim,Yimas,2,Initial,-4.66666666667,143.55,Lower Sepik,Ramu-Lower Sepik,Phonology
yin,Yindjibarndi,1,No fixed stress,-21.75,117.916666667,Western Pama-Nyungan,Pama-Nyungan,Phonology
yir,Yir Yoront,2,Initial,-14.8333333333,141.833333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
yuc,Yuchi,1,No fixed stress,35.75,-86.75,Yuchi,Yuchi,Phonology
yko,Yukaghir (Kolyma),1,No fixed stress,65.75,150.833333333,Yukaghir,Yukaghir,Phonology
ypk,Yup'ik (Central),1,No fixed stress,59.5,-160.0,Eskimo,Eskimo-Aleut,Phonology
ych,Yup'ik (Chevak),1,No fixed stress,61.5,-165.75,Eskimo,Eskimo-Aleut,Phonology
yun,Yup'ik (Norton Sound),1,No fixed stress,64.0,-161.0,Eskimo,Eskimo-Aleut,Phonology
ysl,Yupik (St. Lawrence Island),1,No fixed stress,63.5,-170.5,Eskimo,Eskimo-Aleut,Phonology
yuw,Yuwaalaraay,1,No fixed stress,-29.5,148.0,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
zqc,Zoque (Copainalá),6,Penultimate,17.0,-93.25,Mixe-Zoque,Mixe-Zoque,Phonology
zul,Zulu,6,Penultimate,-30.0,30.0,Bantu,Niger-Congo,Phonology
zun,Zuni,2,Initial,35.0833333333,-108.833333333,Zuni,Zuni,Phonology
