source_lang,source_form,source_ipa,target_form,target_ipa,process,provenance,note
fra,melancholie,,melancholie,me.laŋ.xo.ˈli,substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `melancho'lie`; nasal vowel > /aŋ/; ch > /x/"
fra,prophetie,,profetie,pro.fe.ˈsi,substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `prophe'tie`; ph > /f/; -tie > /si/"
fra,encyclopedie,,encyclopedie,ɛn.si.klo.pe.ˈdi,substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `encyclope'die`; nasal vowel > /ɛn/"
lat,academia,,academie,ɑ.ka.ˈde.mi,stress,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `aca'demie`; Latin penult stress kept"
lat,ceremonia,,ceremonie,se.rə.ˈmo:.ni,stress;vowel,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `cere'monie`; pretonic vowel reduced to schwa"
lat,tragedia,,tragedie,tra.ˈɣe.di,stress;substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `tra'gedie`; g > /ɣ/"
fra,parfum,pɑrf'œ̃,parfum,pɑrf'œ̃,none,nagy2008-frans §3.2.1,"Belgian/southern speakers keep the nasal (95%); Netherlandic adapt to [parf'ʏm] (87%), per Van de Velde & Van Hout 2002 as cited"
fra,croissant,,croissant,,none,loan-theissen2006-nasalen §1c,both N and B keep the nasal almost exclusively
fra,entrecote,,entrecôte,,none,loan-theissen2006-nasalen §1c,Belgian: nasal kept almost exclusively; Netherlandic: denasalized
fra,restaurant,,restaurant,,substitution,loan-theissen2006-nasalen §3e,both N and B mostly denasalize this one
fra,plafond,,plafond,,substitution,loan-theissen2006-nasalen §3b,both N and B denasalize almost exclusively
fra,campagne,,campagne,,substitution,loan-theissen2006-nasalen §3b,both N and B denasalize almost exclusively
eng,goal,,goal,,substitution,loan-gerritsen1995-engels p.16,"Belgian (Tielt) speakers: 8/15 English [g], 7/15 spelling-pronunciation [ɣ/χ], 0/15 [k]"
eng,drugs,,drugs,,substitution,loan-gerritsen1995-engels p.16,"Belgian: 14/15 spelling-pronunciation [ɣ/χ], 1/15 [k], 0/15 English [g]"
fra,aubergine,,aubergine,,none,loan-gerritsen1995-frans3 p.181,Belgian: 15/15 French-like /ʒ/
fra,energie,,energie,,substitution,loan-gerritsen1995-frans3 p.181,"Belgian: 11/15 spelling-pronunciation (g as /ɣ/), 4/15 French /ʒ/"
fra,politie,,politie,,substitution,loan-gerritsen1995-frans p.87,South/Belgium: -tie as /si/ almost exclusively; North /tsi/
grc,therapeut,,therapeut,,substitution,loan-gerritsen1995-grieks-latijn p.249,"Belgian: 15/15 spelling-pronunciation eu = /ø/, 0/15 /œy/"
fra,baguette,,baguette,,substitution,loan-kleinbreukink1999-culinair p.276,"Flanders: [baɣɛt] 63-88%, [bakɛt] 0% (the [k] repair is Netherlandic only)"
ita,spaghetti,,spaghetti,,substitution,loan-kleinbreukink1999-culinair p.276,Flanders young speakers: 100% native /ɣ/
eng,thinner,,tinner,,substitution,loan-posthumus1988-uitspraak §aanpassingsrepertoire,"/θ/ > /t/; target in Dutch respelling, not IPA"
eng,the,,de,,substitution,loan-posthumus1988-uitspraak §aanpassingsrepertoire,/ð/ > /d/; target in Dutch respelling
eng,match,,mets,,substitution,loan-posthumus1988-uitspraak §c,/æ/ > /ɛ/ and /tʃ/ > /s/; Dutch respelling
eng,kitsch,,kiets,,substitution,loan-posthumus1988-uitspraak §c,/tʃ/ > /s/; Dutch respelling
eng,bridge,,brits,,substitution;devoicing,loan-posthumus1988-uitspraak §c,/dʒ/ > /ts/ word-finally; Dutch respelling
eng,jam,,sjem,,substitution,loan-posthumus1988-uitspraak §d,/dʒ/ > /ʃ/; Dutch respelling
eng,douche (fra),,does,,substitution,loan-posthumus1988-uitspraak §b,final /ʃ/ > /s/ in casual style; Dutch respelling
eng,finish,,fienis,,substitution,loan-posthumus1988-uitspraak §b,final /ʃ/ > /s/; Dutch respelling
eng,cruise,,cruise,,devoicing;length,loan-posthumus1988-uitspraak §aanpassingsrepertoire,"final /z/ > [s] with the vowel held long, contrasting native kroes"
eng,cornedbeef,,kornetbief,,substitution;devoicing,names-wiki-spellinguitspraak §Buitenlandse namen,dictionary-sanctioned spelling pronunciation
fra,juste,,juist,jœyst,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,Fr /y/ reinterpreted; Netherlandic transcription; process tag inferred (WOLD gives no donor IPA)
fra,flute,,fluit,flœyt,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,Fr /y/ > /œy/; Netherlandic transcription; process tag inferred (WOLD gives no donor IPA)
fra,calme,,kalm,kɑlm,vowel,wold-dutch infra/wold-dutch-loanpairs.csv,Fr /a/ > B-class /ɑ/ before non-coronal cluster; process tag inferred (WOLD gives no donor IPA)
fra,palme,,palm,pɑlm,vowel,wold-dutch infra/wold-dutch-loanpairs.csv,same; cf. the *VːCC[-cor] restriction; process tag inferred (WOLD gives no donor IPA)
fra,soupe,,soep,suːp,none,wold-dutch infra/wold-dutch-loanpairs.csv,Netherlandic transcription; WOLD gives no donor IPA
fra,rose,,roos,roːs,devoicing,wold-dutch infra/wold-dutch-loanpairs.csv,final /z/ > [s]; process tag inferred (WOLD gives no donor IPA)
fra,ministre,,minister,miːnɪstər,epenthesis,wold-dutch infra/wold-dutch-loanpairs.csv,final /tʁ/ cluster broken by schwa; process tag inferred (WOLD gives no donor IPA)
fra,grotte,,grot,xrɔt,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,Fr /ɡʁ/ > Dutch /xr/ (Netherlandic); Belgian would have /ɣr~xr/; process tag inferred (WOLD gives no donor IPA)
fra,cigarette,,sigaret,siːɣaːrɛt,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,Fr /ɡ/ > /ɣ/; process tag inferred (WOLD gives no donor IPA)
fra,maniere,,manier,maːniːr,vowel,wold-dutch infra/wold-dutch-loanpairs.csv,Netherlandic transcription; process tag inferred (WOLD gives no donor IPA)
fra,vallee,,vallei,vɑlɛi,vowel,wold-dutch infra/wold-dutch-loanpairs.csv,Fr final /e/ > Dutch diphthong /ɛi/; process tag inferred (WOLD gives no donor IPA)
fra,harnasc,,harnas,hɑrnɑs,none,wold-dutch infra/wold-dutch-loanpairs.csv,medieval loan; WOLD gives no donor IPA
lat,templum,,tempel,tɛmpəl,epenthesis,wold-dutch infra/wold-dutch-loanpairs.csv,schwa epenthesis in final /pl/; process tag inferred (WOLD gives no donor IPA)
lat,fenestra,,venster,vɛnstər,deletion;epenthesis,wold-dutch infra/wold-dutch-loanpairs.csv,"initial syllable lost, final cluster resolved with schwa; process tag inferred (WOLD gives no donor IPA)"
lat,sorghum,,sorghum,sɔrɣʏm,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,Latin g > /ɣ/; process tag inferred (WOLD gives no donor IPA)
eng,boomerang,,boemerang,buːmərɑŋ,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,/æ/ > /ɑ/ before /ŋ/; process tag inferred (WOLD gives no donor IPA)
eng,lunch,,lunch,lʏnʃ,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,/ʌ/ > /ʏ/; /tʃ/ > /ʃ/; process tag inferred (WOLD gives no donor IPA)
eng,bus,,bus,bʏs,substitution,wold-dutch infra/wold-dutch-loanpairs.csv,/ʌ/ > /ʏ/; process tag inferred (WOLD gives no donor IPA)
spa,maiz,,maïs,mɑjs,vowel,wold-dutch infra/wold-dutch-loanpairs.csv,hiatus resolved with glide; process tag inferred (WOLD gives no donor IPA)
spa,tucan,,toekan,tuːkɑn,vowel,wold-dutch infra/wold-dutch-loanpairs.csv,Netherlandic transcription; process tag inferred (WOLD gives no donor IPA)
