source_lang	source_form	source_ipa	target_form	target_ipa	process	provenance	note	layer
eng	horrible		oribl		deletion	parry1923 p.230 §92	ME; loss of E initial h-; LGC 165	historical
eng	hostess		ostes		deletion	parry1923 p.230 §92	ME; loss of E initial h-	historical
eng	hostler, ostler		ostler		deletion	parry1923 p.230 §92	ME/NE; loss of E initial h-	historical
eng	Hilary		Ilar		deletion	parry1923 p.230 §92	ME; loss of E initial h-	historical
eng	hermit, eremite		ermitwr		deletion	parry1923 p.230 §92	ME; loss of E initial h-	historical
eng	Milan (steel)		balaen		substitution	parry1923 p.230 §93	ME/NE; initial m- > b-; also belan, bilan, beside melan	historical
eng	mallard		barlat		substitution	parry1923 p.230 §93	ME/NE; initial m- > b-; beside marlat	historical
eng	mule		buwl		substitution	parry1923 p.230 §93	ME/NE; initial m- > b-	historical
eng	marbles		barblis		substitution	parry1923 p.230 §93	NE; initial m- > b-; N. Wales (Carns. dial.), beside marblis	historical
eng	banner		maner		substitution	parry1923 p.231 §94	ME/NE; initial b- > m-; beside baner	historical
eng	bungler		mwngler		substitution	parry1923 p.231 §94	ME/NE; initial b- > m-; beside bwngler	historical
eng	bacon		macynau		substitution	parry1923 p.231 §94	ME/NE; initial b- > m-; plur., beside bacynau	historical
eng	bargain		margen		substitution	parry1923 p.231 §94	ME/NE; initial b- > m-; beside bargen	historical
eng	bugles, beads		mwclis		substitution	parry1923 p.231 §94	NE; initial b- > m-; N. Wales (Carns.), miwglis in S. Cards. (S. Wales)	historical
eng	lawn		lawnt		none	parry1923 p.231 §95	ME/NE; E initial l- retained	historical
eng	lily		lili		none	parry1923 p.231 §95	ME/NE; E initial l- retained	historical
eng	litany		litani		none	parry1923 p.231 §95	ME/NE; E initial l- retained	historical
eng	lavender		lafant		none	parry1923 p.231 §95	ME/NE; E initial l- retained	historical
eng	lamp		lamp		none	parry1923 p.231 §95	ME/NE; E initial l- retained	historical
eng	larder		larder		none	parry1923 p.231 §95	ME/NE; E initial l- retained	historical
eng	loft		lloft		substitution	parry1923 p.231 §95	ME/NE; E l- > W ll- (voiceless unilateral l); also lofft	historical
eng	latimer		lladmerydd		substitution	parry1923 p.231 §95	ME/NE; E l- > W ll-; also ladmer	historical
eng	leopard		llewpard		substitution	parry1923 p.231 §95	ME/NE; E l- > W ll-	historical
eng	loin		llwyn		substitution	parry1923 p.231 §95	ME/NE; E l- > W ll-; also lwyn	historical
eng	recorder		recorder		none	parry1923 p.231 §95	NE; E initial r- retained	historical
eng	ready		redi		none	parry1923 p.231 §95	NE; E initial r- retained	historical
eng	rubble		rwbel		none	parry1923 p.231 §95	NE; E initial r- retained; form in FC	historical
eng	remedy		rhymedi		substitution	parry1923 p.231 §95	ME/NE; E r- > W rh-	historical
eng	ropes		rhobs		substitution	parry1923 p.231 §95	ME/NE; E r- > W rh-	historical
eng	raisin		rhessing		substitution	parry1923 p.231 §95	ME/NE; E r- > W rh-	historical
eng	papers (W papurau)		purau		deletion	parry1923 p.231 §95a	NE; initial haplology in colloquial W; N. Wales (Carns.)	historical
eng	tables		taplas, taplys		devoicing	parry1923 p.232 §97	ME/NE; medial provection of voiced stop before l	historical
eng	pebbles		poplis		devoicing	parry1923 p.232 §97	NE; medial provection before l; S. Wales (Dem. Dial.)	historical
eng	mudguard		mytgard		devoicing	parry1923 p.232 §97	NE; medial provection before w; N. Wales (Carns. dial.)	historical
eng	bedgown		betgwn		devoicing	parry1923 p.232 §97	ME/NE; medial provection before another stop; also becwn	historical
eng	bodkin		bwytkin		devoicing	parry1923 p.232 §97	ME/NE; medial provection; form in WS	historical
eng	cog		cocio		devoicing	parry1923 p.233 §97	ME/NE; medial provection of double voiced stop; cf. cogiwr	historical
eng	piggin		picyn		devoicing	parry1923 p.233 §97	ME/NE; medial provection of double voiced stop	historical
eng	trigger		tricar		devoicing	parry1923 p.233 §97	NE; medial provection; N. Wales (Carns. dial.); but EDD has tricker	historical
eng	india-rubber		inja-rapar		devoicing	parry1923 p.233 §97	NE; medial provection; N. Wales (Carns. dial.)	historical
eng	mud		mwt		devoicing	parry1923 p.233 §97	NE; final provection; S. Wales (S. Cards.)	historical
eng	wethers		gwedrod		devoicing	parry1923 p.233 §98	ME/NE; medial provection d > t after r	historical
eng	scarlet		ysgarllat		devoicing	parry1923 p.233 §98	ME/NE; provection, rl > rll	historical
eng	binding		beintin		devoicing	parry1923 p.233 §98	NE; medial provection d > t; form in FC	historical
eng	caudle		cawtel		devoicing	parry1923 p.233 §98	ME/NE; medial provection d > t	historical
eng	impudence		impitans		devoicing	parry1923 p.233 §98	NE; medial provection d > t; S. Wales (Dem. Dial.)	historical
eng	attercop		adargop		substitution	parry1923 p.233 §99	ME/NE; voicing of E medial voiceless consonant	historical
eng	bagpipes		bagbibau		substitution	parry1923 p.233 §99	ME/NE; voicing of E medial voiceless consonant	historical
eng	breastplate		brestblad		substitution	parry1923 p.233 §99	ME/NE; voicing of E medial voiceless consonant	historical
eng	deputy		debuti		substitution	parry1923 p.233 §99	ME/NE; medial voicing; cf. E debutye (Wyld)	historical
eng	garter(s)		gardas		substitution	parry1923 p.233 §99	ME/NE; medial voicing	historical
eng	welt(s)		gwaldas		substitution	parry1923 p.233 §99	ME/NE; medial voicing	historical
eng	Leicester		Lesedr		substitution	parry1923 p.233 §99	ME/NE; medial voicing; also Layssedr	historical
eng	scapular		ysgablar		substitution	parry1923 p.233 §99	ME/NE; medial voicing	historical
eng	spikenard		ysbignardd		substitution	parry1923 p.233 §99	ME/NE; medial voicing	historical
eng	Jupiter		Subiter		substitution	parry1923 p.233 §99	ME/NE; medial voicing; cf. E Jubyter (Wyld)	historical
eng	proclamation		progklamashiwn		substitution	parry1923 p.233 §99	ME/NE; medial voicing	historical
eng	foumart		ffwlbert		substitution	parry1923 p.233 §100	ME/NE; medial b for w	historical
eng	cavalier		cablir		substitution	parry1923 p.233 §100	NE; medial b for v; cf. E C16 cabbaleer	historical
eng	trespass		tresmas		substitution	parry1923 p.233 §100	ME/NE; medial m for p	historical
eng	chimney		shimle		substitution	parry1923 p.233 §100	NE; medial l for n; S. Wales (Dem. Dial.); cf. simdda Carns.	historical
eng	mangonel		mangddel		substitution	parry1923 p.233 §100	ME/NE; medial dd for n	historical
eng	surveyor		sylfuar		substitution	parry1923 p.233 §100	NE; dissimilation; N. Wales (Carns.)	historical
eng	barrel		balir		metathesis	parry1923 p.234 §100	ME/NE; metathesis, for baril	historical
eng	alderman		aldramon		metathesis	parry1923 p.234 §100	ME/NE; metathesis of r	historical
eng	oriel, lumber-room		olier		metathesis	parry1923 p.234 §100	NE; metathesis; S. Wales (S. Cards.)	historical
eng	ignorant		ingrant		metathesis	parry1923 p.234 §100	ME/NE; metathesis; cf. E C16 yngnorant; also ingront	historical
eng	exact		cysact		metathesis	parry1923 p.234 §100	NE; E ex- > cys- in dialect; N. Wales (Carns.)	historical
eng	examine		cysamio		metathesis	parry1923 p.234 §100	NE; E ex- > cys-; N. Wales (Carns.); also cysam 'exam'	historical
eng	power		pwfer		epenthesis	parry1923 p.234 §100	ME/NE; E uw > W f, or epenthetic f	historical
eng	allow		lwfio		epenthesis	parry1923 p.234 §100	NE; epenthetic f; cf. lwfans 'allowance'	historical
eng	cavalry		cafaltri		epenthesis	parry1923 p.234 §101	NE; addition of medial consonant; S. Wales (Dem. Dial.)	historical
eng	commodore		combador		epenthesis	parry1923 p.234 §101	NE; addition of medial consonant, sense 'foreman'; S. Wales (Dem. Dial.)	historical
eng	foolery		ffwlbri		epenthesis	parry1923 p.234 §101	NE; addition of medial consonant	historical
eng	bottle		petrel		epenthesis	parry1923 p.234 §101	NE; addition of medial consonant; S. Wales (Dem. Dial.); cf. potel	historical
eng	Henry		Hendri		epenthesis	parry1923 p.234 §101	ME/NE; parasitic d, cf. F vendredi	historical
eng	ambes as		ambisas		deletion	parry1923 p.235 §101	ME; loss of consonant in group	historical
eng	ambler		amler		deletion	parry1923 p.235 §101	ME/NE; loss of b in group	historical
eng	character		cantor		deletion	parry1923 p.235 §101	NE; loss in group; N. Wales (Carns.); also carictor	historical
eng	cartridge		catris		deletion	parry1923 p.235 §101	NE; loss of r in group; N. Wales (Carns.)	historical
eng	company		cwmni		deletion	parry1923 p.235 §101	ME/NE; loss of p in group	historical
eng	consider		cysidro		deletion	parry1923 p.235 §101	ME/NE; loss of n; also considro	historical
eng	consumption		consymsiwn		deletion	parry1923 p.235 §101	NE; loss of p in group	historical
eng	conceit		cyset		deletion	parry1923 p.235 §101	ME/NE; loss of n	historical
eng	customer		cwsmer		deletion	parry1923 p.235 §101	ME/NE; loss of t in group	historical
eng	frying-pan		ffrimpan		deletion	parry1923 p.235 §101	ME/NE; ng > n, n > m before p	historical
eng	huntsmen		hynsmen		deletion	parry1923 p.235 §101	ME/NE; loss of t in group	historical
eng	lampblack		lemlac		deletion	parry1923 p.235 §101	NE; loss in group; S. Wales (Dem. Dial.)	historical
eng	Margaret		Marged		deletion	parry1923 p.235 §101	ME; dissimilatory loss of r, from Margred	historical
eng	partridge		petris		deletion	parry1923 p.235 §101	ME/NE; loss of r in group	historical
eng	stumble		siwmlo		deletion	parry1923 p.235 §101	ME; loss of t; cf. E C15 stumle	historical
eng	temptation		temtasiwn		deletion	parry1923 p.235 §101	ME/NE; loss of p in group	historical
eng	turnpike		tyrpeg		deletion	parry1923 p.235 §101	NE; loss of n in group; also tyrpag	historical
eng	safe-conduct		secwndid		deletion	parry1923 p.235 §101	ME; from ME saf coundyte	historical
eng	submit		smit, smitio		deletion	parry1923 p.235 §101	NE; loss of ub; form in FC	historical
eng	arches		artsus		substitution	parry1923 p.236 §103	ME/NE; medial E tch/ch (=tsh) > W ts/si	historical
eng	catchpoll		ceisbwl		substitution	parry1923 p.236 §103	ME; medial tsh > s before consonant	historical
eng	fletcher		fleitsier		substitution	parry1923 p.236 §103	ME/NE; medial tsh > tsi before vowel	historical
eng	hatchet		haitsiet		substitution	parry1923 p.236 §103	ME/NE; medial tsh > tsi	historical
eng	hetchell		heislan		substitution	parry1923 p.236 §103	ME/NE; medial tsh > s before consonant	historical
eng	merchant		marsiand		substitution	parry1923 p.236 §103	ME/NE; medial tsh > si; also mershiand	historical
eng	match		matsio		substitution	parry1923 p.236 §103	NE; medial tsh > tsi	historical
eng	parchment		parsment		substitution	parry1923 p.236 §103	ME/NE; medial tsh > s before consonant	historical
eng	pitcher		piser		substitution	parry1923 p.236 §103	ME/NE; medial tsh > s	historical
eng	Richmond		Rhismwnd		substitution	parry1923 p.236 §103	ME/NE; medial tsh > s before consonant	historical
eng	scutcheon		scwtsiwn		substitution	parry1923 p.236 §103	ME/NE; medial tsh > tsi	historical
eng	satchel		setsiel		substitution	parry1923 p.236 §103	ME/NE; medial tsh > tsi; form in WS	historical
eng	attachment		taitsment		substitution	parry1923 p.236 §103	ME/NE; medial tsh > ts	historical
eng	trencher		treinsiwr		substitution	parry1923 p.236 §103	ME/NE; medial tsh > si	historical
eng	Richard		Rhisiart		substitution	parry1923 p.236 §103	ME/NE; medial tsh > si	historical
eng	Lichfield		Litsfild		substitution	parry1923 p.236 §103	ME/NE; medial tsh > ts	historical
eng	angel		ainsiel		substitution	parry1923 p.236 §104	ME/NE; medial E j/g (=dzh) > W si; also aitsiel	historical
eng	Anjou		Aensio		substitution	parry1923 p.236 §104	ME; medial dzh > si	historical
eng	Bridget		Bridsied		substitution	parry1923 p.236 §104	ME/NE; medial dzh > dsi	historical
eng	Bruges		Brudsys		substitution	parry1923 p.236 §104	ME/NE; medial dzh > dsi; form in WS	historical
eng	bougette		bwytsiet		substitution	parry1923 p.236 §104	ME; medial dzh > tsi; form in WS	historical
