orthography	oi_nom	oi_gen	stem	gender	status	kind	source	note
ardnósach					none	late	https://en.wiktionary.org/wiki/ardnósach	Irish compound: ard- + nós + -ach; not an attested OI word
arán	arán	aráin	o	m	attested		https://en.wiktionary.org/wiki/ar%C3%A1n#Old_Irish	OI arán is rare, glossed as (rare) bread; the general OI word for bread was bairgen
athair	athair	athar	r	m	attested		https://en.wiktionary.org/wiki/athair#Old_Irish	real class is masculine r-stem (kinship noun)
bacach	baccach		o		attested		https://en.wiktionary.org/wiki/bacach	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
bainne	bannae	bannai	o		attested		https://en.wiktionary.org/wiki/bannae#Old_Irish	unattested: gender unknown on the cited page (sga-noun|u); real class is io-stem, mapped to o; source states gender unknown/unspecified in DIL, gives masc io-stem as one of two possible inflections
ball	ball	baill	o	m	attested		https://en.wiktionary.org/w/index.php?title=ball&action=raw	paradigm word: o-stem masculine ("body part, member, part, spot"). CONTRADICTS hint: Wiktionary's genitive singular is "baill", not "boill"
beag	bec		o		attested		https://en.wiktionary.org/wiki/beag	no nominal paradigm: adjective; adjective, o/ā class; suppletive comparative lugu
bealach	belach				middle		https://en.wiktionary.org/wiki/bealach	unattested: gender and stem class not shown; Middle Irish only; no Old Irish attestation found (harvest log, unresolved). The Irish entry's etymology gives Middle Irish belach "gap, pass, road, path" (DIL 5608); no belach lemma exists on Wiktionary
bean	ben	mná	irregular	f	attested		https://en.wiktionary.org/wiki/ben#Old_Irish ; https://en.wiktionary.org/wiki/bean	real class: irregular/suppletive root noun (irreg-f), cf. gen mná
beirt	bert				attested		https://en.wiktionary.org/wiki/beirt	no nominal paradigm: numeral; numeral (personal, "two people"); Modern Irish beirt < Middle Irish beirt < Old Irish bert "burden, load, bundle" (semantic narrowing to "pair/two people" happened in Middle Irish)
blas	mlas		o		attested		https://en.wiktionary.org/wiki/mlas#Old_Irish ; https://en.wiktionary.org/wiki/blas	unattested: gender unknown on the cited page (sga-noun|u|?); OI mlas: full inflection unattested; believed to be o-stem but gender (m or n) undeterminable per source; genitive unattested in sources consulted
bliain	blíadain	blíadnae	ā	f	attested		https://en.wiktionary.org/wiki/bl%C3%ADadain#Old_Irish ; https://en.wiktionary.org/wiki/bliain	real class is ī-stem, mapped to ā
bláth	bláth	blátho	u	m	attested		https://en.wiktionary.org/wiki/bl%C3%A1th#Old_Irish ; https://en.wiktionary.org/wiki/bl%C3%A1th	masculine u-stem; gen sg also attested as blátha
bocht	bocht		o		attested		https://en.wiktionary.org/wiki/bocht	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
borb	borb		o		attested		https://en.wiktionary.org/wiki/borb	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
bradán	bratán	bratáin	o	m	attested		https://en.wiktionary.org/wiki/brat%C3%A1n#Old_Irish	masc o-stem, from brat plunder + -án
Bran	Bran	Brain		m	attested		https://en.wikipedia.org/wiki/Bran_mac_Febail	unattested: stem class not shown in sources consulted; title "Immram Brain maic Febail" shows genitive Brain; stem class not explicitly labeled in source
Breandán	Brénainn			m	attested		https://en.wiktionary.org/wiki/Breand%C3%A1n ; https://en.wiktionary.org/wiki/Br%C3%A9nainn	unattested: stem class not shown in sources consulted; genitive unattested in sources consulted
breitheamh	brithem	brithemon	n	m	attested		https://en.wiktionary.org/wiki/brithem#Old_Irish ; https://en.wiktionary.org/wiki/breitheamh	masculine n-stem; alt gen britheman also attested; alt spelling breithem also used
breá					none	late	https://en.wiktionary.org/wiki/breá	from Middle Irish bregda; no Old Irish ancestor given
Brian					none	loan	https://en.wiktionary.org/wiki/Brian	Wiktionary: "Middle Irish Brían, probably from Old Breton Brient"; explicitly states "the name Brian seems to have been unknown in Ireland before Brian Boru" (10th century), i.e. after the Old Irish period
briathar	bríathar	bréthre	ā	f	attested		https://en.wiktionary.org/wiki/br%C3%ADathar#Old_Irish	alt genitive bréithre
Bricriu	Bricriu	Bricrenn	n	m	attested		digest §10.6	n-stem; no modern reflex, key = OI form
bráthair	bráthair	bráthar	r	m	attested		https://en.wiktionary.org/wiki/br%C3%A1thair#Old_Irish	real class is masculine r-stem (kinship noun)
Bríd	Brigit	Brigte	ā	f	attested		https://en.wiktionary.org/wiki/Br%C3%ADd ; https://en.wiktionary.org/wiki/Brigit	Old Irish ī-stem mapped to ā per instructions; genitive also attested as variant "Brigite"
Bríghid	Brigit	Brigte	ā	f	attested		https://en.wiktionary.org/wiki/Brigit	real class ī-stem, mapped to ā per rules; alt genitive Brigite also given
buí	buide		o		attested		https://en.wiktionary.org/wiki/buide	no nominal paradigm: adjective; adjective, io/iā class; comparative buidiu. Source corrected in sample verification: the modern buí page has no Old Irish section, the form is shown on the Old Irish entry buide
bád					none	loan	https://en.wiktionary.org/wiki/b%C3%A1d	from Middle Irish bát, borrowed from Old English bāt; no Old Irish ancestor
bádóir					none	late	https://en.wiktionary.org/wiki/b%C3%A1d%C3%B3ir ; https://en.wiktionary.org/wiki/b%C3%A1d	late: an Irish-internal derivation (-óir) whose base is a loan; the coinage, not the borrowing, is what postdates Old Irish; bádóir = bád + agentive -óir; bád is itself a Middle Irish loan (< Old English bāt), so no OI ancestor
bán	bán		o		attested		https://en.wiktionary.org/wiki/bán	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
béal	bél	béoil	o	m	attested		https://en.wiktionary.org/wiki/b%C3%A9l#Old_Irish	alt genitive béuil
béas	bés	béso	u	m	attested		https://en.wiktionary.org/wiki/b%C3%A9s#Old_Irish	modern béas < OI bés custom; masc u-stem
Béibhinn	Bébinn			f	attested		https://en.wikipedia.org/wiki/B%C3%A9binn	unattested: stem class not shown in sources consulted; page uses manuscript dot-above ḃ (=bh); "early Irish personal and mythological name"; genitive unattested
bó	bó	bóu	irregular	f	attested		https://en.wiktionary.org/wiki/b%C3%B3#Old_Irish	declension table explicitly labelled feminine irregular; alt genitive bó
cailín					none	late	https://en.wiktionary.org/wiki/cail%C3%ADn	from caile (attested OI, fem iā-stem "maid/servant") + diminutive -ín; -ín is stated to have replaced OI diminutive suffixes -án/-én, so the -ín formation postdates the OI period; not itself attested in OI
Cairmilíteach					none	loan	https://en.wiktionary.org/wiki/Carmelites	loan: borrowed order-name with a native suffix; no Wiktionary entry exists for Cairmilíteach; Carmelite order founded 12th century (per Wikipedia), centuries after the Old Irish period, so no OI ancestor is possible
caisleán	caisel	caisil	o	n	attested		https://en.wiktionary.org/wiki/caisel#Old_Irish ; https://en.wiktionary.org/wiki/caisle%C3%A1n	OI caisel itself a loan < Latin castellum; ModIr via MidIr caislén
Caoimhe	cóem	coíme	ā	f	attested		https://en.wikipedia.org/wiki/Caoimhe ; https://en.wiktionary.org/wiki/c%C3%B3em	Underlying OI word is the adjective/abstract "cóem" ("dear, beloved") or its derived abstract noun "caíme" ("beauty"), not itself directly attested as a proper name in Old Irish; o/ā-stem adjective, fem. genitive singular "coíme"
caol	coíl		o		attested		https://en.wiktionary.org/wiki/caol	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
caora	cauru	caírech	velar	f	attested		https://en.wiktionary.org/wiki/cauru#Old_Irish	declension table labelled feminine k-stem (velar stem), mapped to irregular per instructions
capall	capall	capaill	o	m	attested		https://en.wiktionary.org/wiki/capall#Old_Irish	masc o-stem
cara	carae	carat	dental	m	attested		https://en.wiktionary.org/wiki/carae#Old_Irish ; https://en.wiktionary.org/wiki/cara ; https://en.wiktionary.org/wiki/carae	real class is nt-stem (mixed n/dental stem) ; stem set to dental (carae/carat is the standard dental-stem paradigm word, https://en.wiktionary.org/wiki/carae)
carr	carr				attested		https://en.wiktionary.org/wiki/carr	unattested: stem class not shown in sources consulted; no dedicated OI Wiktionary entry; genitive/stem/gender unattested in sources consulted; meaning "cart, waggon"
cath	cath	catho	u	m	attested		https://en.wiktionary.org/wiki/cath#Old_Irish	alt genitive catha
Cathal	Cathal			m	attested		https://en.wiktionary.org/wiki/Cathal	unattested: stem class not shown in sources consulted; Etymology: "From Old Irish Cathal, from Proto-Celtic *Katuwalos"; no dedicated Old Irish declension page found; modern Irish genitive is "Chathail" but Old Irish genitive/stem is unattested in sources consulted
Ceallach	Cellach	Cellaig	o	m	attested		https://en.wiktionary.org/wiki/Cellach	attested compound name; masc o-stem, gen sg Cellaig
ceann	cenn	cinn	o	n	attested		https://en.wiktionary.org/wiki/cenn#Old_Irish ; https://en.wiktionary.org/wiki/ceann	neuter o-stem
ceithre	cethair				attested		https://en.wiktionary.org/wiki/ceathair	no nominal paradigm: numeral; numeral; 'ceithre' (attributive form) has no Etymology section of its own on Wiktionary, but is cross-referenced as a variant of 'ceathair', whose OI ancestor is cethair
ceol	céul	cíuil	o	n	attested		https://en.wiktionary.org/wiki/c%C3%A9ul#Old_Irish	modern ceol < Middle Irish ceól < OI céul
Cian	Cían			m	attested		https://en.wiktionary.org/wiki/C%C3%ADan	unattested: stem class not shown in sources consulted; genitive unattested in sources consulted; stem class not shown
Ciara					none	late	https://en.wiktionary.org/wiki/Ciara	Wiktionary Irish section calls Ciara "a new Irish feminine form of Ciarán"; no Old Irish ancestor form of Ciara itself is attested; underlying adjective is OI "ciar" (dark)
Ciarán	Cíarán	Cíaráin	o	m	attested		https://en.wiktionary.org/wiki/C%C3%ADar%C3%A1n	
cill	cell	cille	ā	f	attested		https://en.wiktionary.org/wiki/cell#Old_Irish	fem ā-stem, borrowed from Latin cella
ciúin	ciúin		i		attested		https://en.wiktionary.org/wiki/ciúin	no nominal paradigm: adjective; adjective, i-stem class; inflects by agreement
claíomh	claideb	claidib	o	m	attested		https://en.wiktionary.org/wiki/claideb#Old_Irish	
cliste					none	late	https://en.wiktionary.org/wiki/cliste	from Middle Irish cliste, past participle of clisid; no Old Irish form given
cloch	cloch	cloiche	ā	f	attested		https://en.wiktionary.org/wiki/cloch#Old_Irish	
cluas	clúas	clúaise	ā	f	attested		https://en.wiktionary.org/wiki/cl%C3%BAas#Old_Irish	
Clíodhna	Clídna			f	attested		https://en.wiktionary.org/wiki/Cl%C3%ADdna	unattested: stem class not shown in sources consulted; genitive unattested; stem class not given
cnaipe					none	loan	https://en.wiktionary.org/wiki/cnaipe	from Middle Irish cnap, borrowed from Old Norse knappr and/or Old English cnæp; confirmed loan, no OI ancestor
cnoc	cnocc	cnuicc	o	m	attested		https://en.wiktionary.org/wiki/cnocc#Old_Irish ; https://en.wiktionary.org/wiki/cnoc	masculine o-stem
cnámh	cnáim	cnámo	i	m	attested		https://en.wiktionary.org/wiki/cn%C3%A1im#Old_Irish ; https://en.wiktionary.org/wiki/cn%C3%A1mh	masculine i-stem; alt gen cnáma also attested
coill	caill	caille	ā	f	attested		https://en.wiktionary.org/wiki/caill#Old_Irish	real class is ī-stem, mapped to ā per instructions
Colm	Colum		o	m	attested		https://en.wiktionary.org/wiki/columb	"Colum" is given as an alternate form of Old Irish "columb" (dove), masc. o-stem, gen.sg. of columb is "coluimb"; genitive of the variant "colum" itself not separately shown, so genitive unattested in sources consulted; Wiktionary's own Colm entry cites only Middle Irish Colm < Late Latin Columba, but the underlying Old Irish alternate form columb/colum is directly attested
Colmán	Colmán	Colmáin	o	m	attested		https://en.wiktionary.org/wiki/Colm%C3%A1n	
Conall	Conall	Conaill		m	attested		https://en.wiktionary.org/wiki/Conall	unattested: stem class not shown in sources consulted; stem class not shown in source (no declension table given)
Conchobhar	Conchobar	Conchobair	o	m	attested		https://en.wiktionary.org/wiki/Conchobar	attested compound name; Old Irish section gives full declension, masc o-stem, gen sg Conchobair
Conchúr	Conchobar	Conchobair	o	m	attested		https://en.wiktionary.org/wiki/Conchobar	
Conn	Conn	Cuinn	o	m	attested		https://en.wiktionary.org/wiki/Conn	name-formation element
Cormac	Cormac	Cormaic	o	m	attested		https://en.wiktionary.org/wiki/Cormac	
cos	cos	coise	ā	f	attested		https://en.wiktionary.org/wiki/cos#Old_Irish ; https://en.wiktionary.org/wiki/cos	feminine ā-stem
crann	crann	cruinn	o	n	attested		https://en.wiktionary.org/wiki/crann#Old_Irish	
croiceann	croiccenn	crocainn	o	n	attested		https://en.wiktionary.org/wiki/craiceann ; https://en.wiktionary.org/wiki/crocenn#Old_Irish	croiccenn is alt spelling of crocenn; gender deduced as neuter (not declared in DIL) per Wiktionary's discussion; modern croiceann is alt form of craiceann
crom	cromb		o		attested		https://en.wiktionary.org/wiki/crom	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
croí	cride	cridi	o	n	attested		https://en.wiktionary.org/wiki/cride#Old_Irish ; https://en.wiktionary.org/wiki/cro%C3%AD	real class is io-stem, mapped to o; neuter "heart"
cróga					none	late	https://en.wiktionary.org/wiki/cróga	from Middle Irish cróda (cró + -ga); no Old Irish form given
Cualu	Cúalu	Cúalann	n		attested		digest §10.6	unattested: gender not stated in the digest; n-stem; gender not stated in the digest
Cuanu	Cúanu	Cúanach	velar	m	attested		digest §10.6	velar stem; no modern reflex, key = normalized OI form
Cuirithir	Cuirithir			m	attested		digest §10.6	unattested: stem class not shown in sources consulted; genitive unattested in sources consulted
Culann	Culann	Culainn		m	attested		https://en.wiktionary.org/wiki/C%C3%BA_Chulainn#Old_Irish ; https://en.wikipedia.org/wiki/Culann	unattested: stem class not shown in sources consulted; name-formation element: the Old Irish Cú Chulainn entry derives the name from cú + Culann, "another male given name", and gives the genitive Con Culainn, whence gen Culainn; no Culann lemma page exists
céile	céile	céili	o	m	attested		https://en.wiktionary.org/wiki/c%C3%A9ile#Old_Irish	real class is io-stem, mapped to o; masculine
cú	cú	con	n	m	attested		https://en.wiktionary.org/wiki/c%C3%BA#Old_Irish	masc n-stem; dog, hound
Cú Chonnacht	Cú Chonnacht		indecl	m	attested		https://en.wikipedia.org/wiki/C%C3%BA_Connacht_%C3%93_D%C3%A1laigh	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; "hound of Connacht"; no genitive shown on this page
Cú Chulainn	Cú Chulainn	Con Culainn	irregular	m	attested		https://en.wikipedia.org/wiki/C%C3%BA_Chulainn ; https://en.wiktionary.org/wiki/C%C3%BA_Chulainn#Old_Irish	kept irregular: whole-name row whose genitive Con Culainn is attested (Wiktionary Old Irish entry: m, genitive Con Culainn); attested compound name; genitive "Con Culainn" evidenced by titles quoted in the article (Compert Con Culainn, Serglige Con Culainn)
cúig	cóic				attested		https://en.wiktionary.org/wiki/cúig	no nominal paradigm: numeral; numeral
Da Derga	Da Derga		indecl	m	attested		digest §10.6 ; digest §10.5	indeclinable (wiki-old-irish-grammar, Indeclinable nouns)
dearg	derg		o		attested		https://en.wiktionary.org/wiki/derg	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
deas	dess		o		attested		https://en.wiktionary.org/wiki/deas	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
deich	deich				attested		https://en.wiktionary.org/wiki/deich	no nominal paradigm: numeral; numeral
Deichtire	Deichtire			f	attested		digest §10.6	unattested: stem class not shown in sources consulted; alternative form Deichtine; genitive unattested in sources consulted
Deirdre	Derdriu	Derdrenn	n	f	attested		https://en.wiktionary.org/wiki/Derdriu	
deirfiúr	siur	sethar	r	f	attested		https://en.wiktionary.org/wiki/deirfi%C3%BAr ; https://en.wiktionary.org/wiki/siur#Old_Irish	deirfiúr < Middle Irish derbṡiur < OI derb ("certain/sure") + siur ("sister"); siur itself attested OI fem r-stem, gen sethar; no single unitary OI lexeme "deirfiúr" exists, this is the noun element
dia	día	dé	o	m	attested		https://en.wiktionary.org/wiki/d%C3%ADa#Old_Irish ; https://en.wiktionary.org/wiki/dia	entry for "god" sense (not "day"); masculine o-stem
Diarmaid	Diarmait	Diarmato	i	m	attested		https://en.wiktionary.org/wiki/Diarmait	Genitive also attested as variant "Diarmata"; masculine i-stem
Domhnall	Domnall	Domnaill	o	m	attested		https://en.wiktionary.org/wiki/Domnall	
donn	donn		o		attested		https://en.wiktionary.org/wiki/donn	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
Donnchadh	Donnchad	Donnchado	u	m	attested		https://en.wiktionary.org/wiki/Donnchad	alt genitive Donnchada also given
doras	dorus	doirseo	u	n	attested		https://en.wiktionary.org/wiki/dorus#Old_Irish ; https://en.wiktionary.org/wiki/doras	neuter u-stem; alt gen doirsea also attested
dorcha	dorchae		o		attested		https://en.wiktionary.org/wiki/dorcha	no nominal paradigm: adjective; adjective, io/iā class; inflects by agreement (also attested as a neuter io-stem noun "dorchae")
dorn	dorn	duirn	o	m	attested		https://en.wiktionary.org/wiki/dorn#Old_Irish ; https://en.wiktionary.org/wiki/dorn	masculine o-stem
droch-	droch				attested		https://en.wiktionary.org/wiki/droch-	no nominal paradigm: prefix; prefix, not a noun; Modern Irish droch- explicitly "From Old Irish droch ('bad')"; no separate OI prefix entry page, cited within the Irish etymology
drochbhéasach					none	late	https://en.wiktionary.org/wiki/drochbhéasach	Irish compound: droch- + béas + -ach; not an attested OI word
droim	druimm	drommo	i	n	attested		https://en.wiktionary.org/wiki/druimm#Old_Irish ; https://en.wiktionary.org/wiki/droim	neuter i-stem; plural drummae
dualgas	dúalgas				middle		https://en.wiktionary.org/wiki/dualgas	unattested: gender and stem class not shown; Middle Irish only; no Old Irish attestation found (harvest log, unresolved). The Irish entry's etymology gives Middle Irish dúalgas, dúalcus, alteration of dúalus (DIL 18960); no dúalgas lemma exists on Wiktionary
dubh	dub		u		attested		https://en.wiktionary.org/wiki/dub	no nominal paradigm: adjective; adjective, u-stem class (not the usual o/ā); also attested as an Old Irish u-stem neuter noun dub glossed "ink, pigment, gall"; inflects by agreement
Dubh-dá-leithe	Dub dá Leithe		indecl	m	attested		https://en.wikipedia.org/wiki/Dub_d%C3%A1_Leithe	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; also spelled "Dubhdalethe" in the article; no genitive or etymological gloss given
Dubhthach	Dubthach	Dubthaig	o	m	attested		https://en.wiktionary.org/wiki/Dubthach#Old_Irish	two-element colour compound name (dub + -thach), masculine o-stem, gen sg Dubthaig; Task 15's COLOUR target (R31a)
duine	duine	duini	o	m	attested		https://en.wiktionary.org/wiki/duine#Old_Irish	io-stem noted on page, mapped to o per instructions
Dáire	Dáire			m	attested		https://en.wikipedia.org/wiki/D%C3%A1ire	unattested: stem class not shown in sources consulted; explicitly called "a masculine Old Irish name"; genitive unattested in sources consulted
dán	dán	dáno	u	m	attested		https://en.wiktionary.org/wiki/d%C3%A1n#Old_Irish	u-stem masculine; the page shows dána as an alternative nominative PLURAL, not an alternative genitive
dílis					none	late	https://en.wiktionary.org/wiki/dílis	from Middle Irish díles (page does not exist on Wiktionary, no OI form given)
dó	dáu				attested		https://en.wiktionary.org/wiki/dó	no nominal paradigm: numeral; numeral; OI dáu has no separate Wiktionary page but is quoted and DIL-referenced in the dó etymology
Dónall	Domnall	Domnaill	o	m	attested		https://en.wiktionary.org/wiki/Domnall	Old Irish masculine o-stem, genitive singular Domnaill, directly confirmed on its own Old Irish Wiktionary entry
dún	dún	dúin	o	n	attested		https://en.wiktionary.org/wiki/d%C3%BAn#Old_Irish	neuter; also has alternate declension as neuter s-stem (gen dúine) besides primary o-stem reported here
Eachann	Eochaid	Eochado	i	m	attested		https://en.wiktionary.org/wiki/Eachann ; https://en.wiktionary.org/wiki/Eochaid	Eachann's OI ancestor found via Scottish Gaelic etymology section citing OI Eochaid; alt genitive Eochada also given
Eamhain	Emain				attested		digest §10.6	unattested: stem class not shown in sources consulted; territory name (Emain Macha); genitive and stem class unattested in sources consulted
easpag	epscop	epscoip	o	m	attested		https://en.wiktionary.org/wiki/epscop#Old_Irish ; https://en.wiktionary.org/wiki/easpag	OI epscop < Latin episcopus; masc o-stem; alt gen epscuip also attested in some mss
Eire	Ériu	Érenn	n	f	attested		digest §10.6 ; strachan1909 p.15	n-stem; dative Érinn
Eithne	Eithne	Eithne	ā	f	attested		https://en.wiktionary.org/wiki/Eithne	real class iā-stem, mapped to ā per rules
Eochaidh	Echu	Echach	velar	m	attested		https://en.wiktionary.org/wiki/Echu	paradigm word: true class k-stem/velar-final noun; genitive Echach matches hint exactly, BUT Wiktionary's headword is spelled "Echu", not "Eochu" as given in the hint (Eochu/Eochaid/Eocho are attested as alternative-form spellings per https://en.wiktionary.org/wiki/Eochaid)
Eoghan	Eógan			m	middle		https://en.wiktionary.org/wiki/Eoghan	unattested: stem class not shown; Middle Irish only; no Old Irish attestation found (harvest log, unresolved). The Irish entry's etymology gives Middle Irish Eógan; no Eógan lemma exists on Wiktionary. Wikipedia's Eógan article heads itself Éogan (tagged with the Old Irish language code, labelled only "early Irish") — recorded, not relied on
Eoin	Iohain	Iohain	indecl	m	attested		https://en.wiktionary.org/wiki/Eoin ; https://en.wiktionary.org/wiki/Iohain	Old Irish Iohain is an indeclinable masculine proper noun (all cases identical); real class = indeclinable
fada	fota		o		attested		https://en.wiktionary.org/wiki/fada	no nominal paradigm: adjective; adjective, io/iā class; inflects by agreement
Faolán	Fáelán	Fáeláin	o	m	attested		https://en.wiktionary.org/wiki/F%C3%A1el%C3%A1n	
fear	fer	fir	o	m	attested		https://en.wiktionary.org/wiki/fer#Old_Irish ; https://en.wiktionary.org/wiki/fear	masculine o-stem
Fear Diad	Fer Diad		indecl	m	attested		https://en.wikipedia.org/wiki/Fer_Diad	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; article gives Old Irish spelling variants "Fer Diad, Ferdia, Fear Diadh"; no genitive shown
fearg	ferg	fergae	ā	f	attested		https://en.wiktionary.org/wiki/ferg#Old_Irish ; https://en.wiktionary.org/wiki/fearg	feminine ā-stem
Fearghal	Fergal	Fergaile	ā	m	attested		https://en.wiktionary.org/wiki/Fergal	compound of fer+gal "valour"; declines as fem ā-stem despite masc gender
Fearghus	Fergus	Fergusso	u	m	attested		https://en.wiktionary.org/wiki/Fergus	
Feidhlim	Fedlimid			m	attested		https://en.wikipedia.org/wiki/Feidhlim	unattested: stem class not shown in sources consulted; explicit "Old Irish: Fedlimid" label; genitive unattested
fiacail	fíacail	fíaclo	i	m	attested		https://en.wiktionary.org/wiki/f%C3%ADacail#Old_Irish	gender m per the cited page's headword (m, alternatively f); source labels this Unknown gender i-stem; alt genitive fíacla
Fiachra	Fíachrai	Fíachrach	velar	m	attested		https://en.wiktionary.org/wiki/F%C3%ADachrai	real class: g-stem (velar stem)
file	fili	filed	dental	m	attested		https://en.wiktionary.org/wiki/fili#Old_Irish ; https://en.wiktionary.org/wiki/file	t-stem, classed as dental stem ("poet, seer")
Fionn	Finn		o	m	attested		https://en.wiktionary.org/wiki/Fionn ; https://en.wiktionary.org/wiki/find	Fionn's OI etymon "Finn" is described as "an epithet from the adjective find" (o/ā-stem adjective, gen.sg.fem. finde attested); no dedicated proper-noun declension for substantivized "Finn" found, so genitive unattested in sources consulted
Fionnabhair	Findabair	Findubrech	velar	f	attested		digest §10.6	velar stem; digest prints the nominative as Findubair — alternative spelling
Fionnbharr	Findbarr			m	attested		https://en.wiktionary.org/wiki/Fionnbharr	unattested: stem class not shown in sources consulted; genitive unattested; etymology: "from Middle Irish Finnbarr, from Old Irish Findbarr"
Fionnuala	Finnguala			f	attested		https://en.wikipedia.org/wiki/Fionnuala	unattested: stem class not shown in sources consulted; genitive unattested in sources consulted
flaith	flaith	flatho	i	f	attested		https://en.wiktionary.org/wiki/flaith#Old_Irish	alt genitive flatha
Flann	Flann	Flainn	o	m	attested		https://en.wiktionary.org/wiki/Flann	unisex name; source also gives a feminine ā-stem declension but marks it reconstructed/unattested, so masc o-stem (attested) used here
focal	focul	focuil	o	n	attested		https://en.wiktionary.org/wiki/focul#Old_Irish	gender given as n or m
freagra	frecrae	frecrai	o	n	attested		https://en.wiktionary.org/wiki/frecrae#Old_Irish ; https://en.wiktionary.org/wiki/freagra	real class is io-stem (neuter), mapped to o; verbal noun of fris·gair
fuar	úar		o		attested		https://en.wiktionary.org/wiki/fuar	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
fuil	fuil	folo	i	f	attested		https://en.wiktionary.org/wiki/fuil#Old_Irish	alt genitive fola
féar	fér	féuir	o	n	attested		https://en.wiktionary.org/wiki/f%C3%A9r#Old_Irish	
fíor-	fír				attested		https://en.wiktionary.org/wiki/fíor	no nominal paradigm: prefix; prefix, not a noun; the prefix page's own etymology only derives fíor- synchronically from Modern Irish fíor; that base word fíor is itself "From Old Irish fír ('true')"
Gaeilge	Goídelc	Goídilce	ā	f	attested		digest §10.6 ; https://en.wiktionary.org/wiki/Go%C3%ADdelc#Old_Irish	the language's own name; Old Irish entry: feminine ā-stem, declension table on stem Goídilc- (gen sg Goídilce); no plural
Gael	Goídel	Goídil	o	m	attested		https://en.wiktionary.org/wiki/Go%C3%ADdel#Old_Irish	masc o-stem; modern Gael is a reduced form of Goídel
